strategy,variation,date,symbol,entry time,exit time,entry price,exit price,pnl
strategy_1,variation_b,1/1/2024,RELIANCE,10:41:00,12:12:00,873.25,907.44,0.039152591
strategy_1,variation_b,1/1/2024,HDFCBANK,11:01:00,12:08:00,364.47,362.43,-0.005597168
strategy_1,variation_b,1/1/2024,TCS,11:47:00,12:27:00,1478.88,1496.22,0.011725089
strategy_1,variation_b,1/1/2024,TCS,11:11:00,11:53:00,312.57,313.08,0.001631635
strategy_1,variation_b,1/1/2024,HDFCBANK,12:22:00,14:02:00,462.76,471.77,0.019470136
strategy_1,variation_b,1/1/2024,RELIANCE,14:50:00,15:57:00,1408.65,1464.68,0.039775672
strategy_1,variation_b,1/2/2024,TCS,10:31:00,11:24:00,809.16,819.84,0.013198873
strategy_1,variation_b,1/2/2024,HDFCBANK,14:44:00,15:15:00,1447.93,1414.84,-0.022853315
strategy_1,variation_b,1/2/2024,RELIANCE,11:15:00,11:43:00,1072.11,1025.05,-0.04389475
strategy_1,variation_b,1/3/2024,HDFCBANK,12:56:00,13:29:00,1294.01,1318.42,0.018863842
strategy_1,variation_b,1/3/2024,TCS,12:57:00,14:10:00,1742.42,1757.57,0.008694804
strategy_1,variation_b,1/3/2024,HDFCBANK,13:26:00,15:08:00,1816.06,1834.92,0.010385119
strategy_1,variation_b,1/3/2024,ICICIBANK,12:37:00,13:16:00,1366.57,1314.58,-0.038044154
strategy_1,variation_b,1/4/2024,HDFCBANK,11:22:00,13:15:00,1946.85,1893.99,-0.027151553
strategy_1,variation_b,1/4/2024,INFY,12:54:00,13:57:00,1573.16,1537.2,-0.022858451
strategy_1,variation_b,1/4/2024,TCS,14:08:00,15:22:00,1594.75,1638.39,0.027364791
strategy_1,variation_b,1/4/2024,INFY,13:35:00,15:32:00,976.22,1019.17,0.04399623
strategy_1,variation_b,1/4/2024,TCS,10:08:00,11:24:00,807.13,820.18,0.016168399
strategy_1,variation_b,1/4/2024,RELIANCE,14:26:00,15:53:00,757.03,769.98,0.017106323
strategy_1,variation_b,1/5/2024,HDFCBANK,14:41:00,16:21:00,1336.82,1356.15,0.014459688
strategy_1,variation_b,1/5/2024,RELIANCE,12:42:00,13:03:00,381.54,388.39,0.017953557
strategy_1,variation_b,1/5/2024,ICICIBANK,11:41:00,12:08:00,1005.04,1004.79,-0.000248746
strategy_1,variation_b,1/5/2024,ICICIBANK,10:39:00,12:36:00,185.97,180.72,-0.02823036
strategy_1,variation_b,1/5/2024,INFY,11:35:00,12:54:00,784.9,798.34,0.0171232
strategy_1,variation_b,1/6/2024,ICICIBANK,11:02:00,11:14:00,497.45,475.06,-0.045009549
strategy_1,variation_b,1/6/2024,ICICIBANK,10:27:00,11:40:00,1960.02,1970.9,0.005550964
strategy_1,variation_b,1/6/2024,RELIANCE,11:17:00,11:39:00,663.89,666.64,0.004142252
strategy_1,variation_b,1/6/2024,ICICIBANK,13:06:00,14:06:00,482.02,482.7,0.00141073
strategy_1,variation_b,1/6/2024,TCS,10:46:00,11:50:00,1030.29,1045.2,0.014471654
strategy_1,variation_b,1/6/2024,RELIANCE,11:11:00,11:52:00,1523.91,1513.41,-0.006890171
strategy_1,variation_b,1/6/2024,ICICIBANK,12:12:00,14:06:00,447.08,430.97,-0.036033819
strategy_1,variation_b,1/6/2024,RELIANCE,14:17:00,16:07:00,1704,1701.28,-0.001596244
strategy_1,variation_b,1/6/2024,ICICIBANK,9:54:00,10:55:00,127.68,124.45,-0.025297619
strategy_1,variation_b,1/7/2024,HDFCBANK,13:17:00,15:12:00,1383.6,1390.1,0.00469789
strategy_1,variation_b,1/7/2024,INFY,10:30:00,12:21:00,1033.08,1077.2,0.042707244
strategy_1,variation_b,1/7/2024,ICICIBANK,12:40:00,14:35:00,1075.05,1042.2,-0.030556718
strategy_1,variation_b,1/8/2024,INFY,9:31:00,11:20:00,727.78,716.17,-0.015952623
strategy_1,variation_b,1/8/2024,TCS,14:11:00,16:08:00,270.64,257.17,-0.049770913
strategy_1,variation_b,1/8/2024,INFY,13:14:00,14:45:00,1582.71,1576.06,-0.004201654
strategy_1,variation_b,1/8/2024,ICICIBANK,12:39:00,13:30:00,198.39,199.53,0.005746257
strategy_1,variation_b,1/9/2024,TCS,13:05:00,13:17:00,1338.12,1370.05,0.023861836
strategy_1,variation_b,1/9/2024,INFY,10:43:00,11:23:00,778.36,811.53,0.042615242
strategy_1,variation_b,1/9/2024,RELIANCE,12:24:00,13:01:00,914.99,918.73,0.004087476
strategy_1,variation_b,1/9/2024,HDFCBANK,12:33:00,13:53:00,618.6,608.79,-0.01585839
strategy_1,variation_b,1/10/2024,INFY,11:07:00,12:40:00,1506.31,1526,0.013071678
strategy_1,variation_b,1/10/2024,ICICIBANK,11:24:00,12:04:00,324.99,315.63,-0.028800886
strategy_1,variation_b,1/11/2024,RELIANCE,12:30:00,13:46:00,1308.31,1293.68,-0.011182365
strategy_1,variation_b,1/11/2024,HDFCBANK,12:35:00,13:36:00,482.09,486.44,0.009023211
strategy_1,variation_b,1/11/2024,ICICIBANK,12:55:00,13:38:00,209.69,207.41,-0.010873194
strategy_1,variation_b,1/11/2024,HDFCBANK,11:07:00,12:01:00,890.81,861.25,-0.033183283
strategy_1,variation_b,1/11/2024,TCS,13:40:00,15:30:00,148.96,150.5,0.010338346
strategy_1,variation_b,1/12/2024,RELIANCE,10:04:00,10:19:00,1991.33,2062.16,0.035569192
strategy_1,variation_b,1/12/2024,TCS,10:39:00,11:00:00,1903.31,1905.77,0.001292485
strategy_1,variation_b,1/12/2024,HDFCBANK,14:22:00,15:08:00,299.14,299.1,-0.000133717
strategy_1,variation_b,1/12/2024,RELIANCE,9:45:00,11:09:00,669.62,679.43,0.0146501
strategy_1,variation_b,1/12/2024,ICICIBANK,14:12:00,15:12:00,1151.42,1123.2,-0.024508867
strategy_1,variation_b,1/12/2024,RELIANCE,14:25:00,14:49:00,1925.75,1932.67,0.003593405
strategy_1,variation_b,1/12/2024,RELIANCE,11:50:00,12:37:00,1630.73,1585.77,-0.027570475
strategy_1,variation_b,1/12/2024,INFY,12:44:00,14:34:00,1790.2,1869.67,0.044391688
